agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10336,2025,175000,175000,reappropriation,14,21.0,2026-27,"25 175,000 ............................................. (re. $175,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10336|2025|175000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10340,2025,793000,793000,reappropriation,14,26.0,2026-27,"34 Medicare Rights Center (10340) ... 793,000 ........... (re. $793,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10340|2025|793000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10341,2025,354000,354000,reappropriation,14,35.0,2026-27,"36 354,000 ............................................. (re. $354,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10341|2025|354000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10342,2025,222000,222000,reappropriation,14,,2026-27,"37 New York Legal Assistance Group (10342) ... 222,000 ... (re. $222,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10342|2025|222000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10343,2025,111000,111000,reappropriation,14,,2026-27,"38 Legal Aid Society of New York (10343) ... 111,000 ..... (re. $111,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10343|2025|111000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10345,2025,155000,155000,reappropriation,14,,2026-27,"39 Empire Justice Center (10345) ... 155,000 ............. (re. $155,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10345|2025|155000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10346,2025,132000,132000,reappropriation,14,,2026-27,"40 Community Service Society (10346) ... 132,000 ......... (re. $132,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10346|2025|132000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10324,2025,216500,216500,reappropriation,14,41.0,2026-27,"42 (RSVP) (10324) ... 216,500 .......................... (re. $216,500)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10324|2025|216500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10325,2025,118500,118500,reappropriation,14,43.0,2026-27,"44 (10325) ... 118,500 ................................. (re. $118,500)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10325|2025|118500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10326,2025,71000,71000,reappropriation,14,45.0,2026-27,"46 senior respite program (10326) ... 71,000 ............ (re. $71,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10326|2025|71000|LOCAL ASSISTANCE ACCOUNT - 10000
