approp_id,chapter_year,program,fund,approp_amount,reapprop_amount,enacted_page
21705,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,93700000.0,61281000,287
21706,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1035000000.0,158990000,288
21707,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,367500000.0,251200000,287
21733,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,974500.0,974000,290
21763,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1303000.0,1303000,285
21764,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,89000.0,89000,285
21769,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,115652000.0,115652000,286
21770,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,77476000.0,77476000,286
21771,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,922000.0,922000,286
21774,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,466000.0,466000,288
21775,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,691000.0,691000,288
21776,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,24344000.0,24257000,289
21778,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,894000.0,894000,289
21779,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1382000.0,1267000,289
21781,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,932000.0,823000,289
21782,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1240000.0,1240000,289
21784,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,3049000.0,785000,290
