agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21784,2025,3049000,0,appropriation,30,15.0,2025-26,"(21784) ...................................... 3,049,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21784|2025|3049000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21801,2025,11500000,0,appropriation,30,27.0,2025-26,"(21801) ..................................... 11,500,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21801|2025|11500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21803,2025,4837000,0,appropriation,30,44.0,2025-26,"ter schools stimulus account (21803) ......... 4,837,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21803|2025|4837000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21804,2025,490000,0,appropriation,30,56.0,2025-26,"than 1,000,000 inhabitants (21804) ............. 490,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21804|2025|490000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,23449,2025,1868000,0,appropriation,31,2.0,2025-26,"fiscal year 2010-11 (23449) .................. 1,868,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23449|2025|1868000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,56005,2025,235000,0,appropriation,31,5.0,2025-26,"(56005) ........................................ 235,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|56005|2025|235000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,56045,2025,1000000,0,appropriation,31,8.0,2025-26,"adults (56045) ............................... 1,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|56045|2025|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,21740,2025,1771819000,0,appropriation,31,50.0,2025-26,"intent of this appropriation (21740) ..... 1,771,819,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21740|2025|1771819000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,23418,2025,256841000,0,appropriation,32,12.0,2025-26,"this appropriation (23418) ................. 256,841,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23418|2025|256841000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,23417,2025,65331000,0,appropriation,32,36.0,2025-26,"ation (23417) ............................... 65,331,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23417|2025|65331000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,23416,2025,253326000,0,appropriation,32,61.0,2025-26,"this appropriation (23416) ................. 253,326,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23416|2025|253326000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Federal Department of Education Account - 25210,23415,2025,50000000,0,appropriation,33,22.0,2025-26,"intent of this appropriation (23415) ........ 50,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23415|2025|50000000
