agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21741,2024,2500000,0,appropriation,2,16,2024-25,"For the supported employment program (21741) ... 2,500,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21741|2024|2500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21734,2024,48704000,0,appropriation,2,20,2024-25,"workforce investment act (21734) ............ 48,704,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21734|2024|48704000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21852,2024,4755000,0,appropriation,2,28,2024-25,"disability beneficiaries (21852) ............. 4,755,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21852|2024|4755000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21852,2024,698000,0,appropriation,2,36,2024-25,"workers' compensation program (21852) .......... 698,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21852|2024|698000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21846,2024,102127000,0,appropriation,3,9,2024-25,"this program (21846) ....................... 102,127,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21846|2024|102127000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21847,2024,1725000,0,appropriation,3,11,2024-25,"(21847) ...................................... 1,725,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21847|2024|1725000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,55912,2024,375000,0,appropriation,3,14,2024-25,"(55912) ........................................ 375,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55912|2024|375000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,55942,2024,112500,0,appropriation,3,20,2024-25,"Center of Queens Library (55942) ............... 112,500",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55942|2024|112500
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21848,2024,14027000,0,appropriation,3,29,2024-25,"this program (21848) ........................ 14,027,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21848|2024|14027000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21851,2024,5400000,0,appropriation,4,3,2024-25,"services technology act (21851) .............. 5,400,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21851|2024|5400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,23373,2024,100000,0,appropriation,4,17,2024-25,"by the director of the budget (23373) .......... 100,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23373|2024|100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21849,2024,8346000,0,appropriation,4,28,2024-25,"cultural affairs law (21849) ................. 8,346,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21849|2024|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21850,2024,461000,0,appropriation,4,34,2024-25,"such programs (21850) .......................... 461,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21850|2024|461000
