agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23483,2022,6750000,2672000,"28 For additional grants in aid to certain school districts, public
29 libraries, and not-for-profit institutions. Notwithstanding section
30 24 of the state finance law or any provision of law to the contrary,
31 funds from this appropriation shall be allocated only pursuant to a
32 plan (i) approved by the temporary president of the senate and the
33 director of the budget which sets forth either an itemized list of
34 grantees with the amount to be received by each, or the methodology
35 for allocating such appropriation, and (ii) which is thereafter
36 included in a senate resolution calling for the expenditure of such
37 funds, which resolution must be approved by a majority vote of all
38 members elected to the senate upon a roll call vote _(_2_3_4_8_3_) ........
39 6,750,000 ......................................... (re. $2,672,000)",369,28.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23483|2022|6750000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23482,2022,6343000,1211000,"40 For additional grants in aid to certain school districts, public
41 libraries, and not-for-profit institutions. Notwithstanding section
42 24 of the state finance law or any provision of law to the contrary,
43 funds from this appropriation shall be allocated only pursuant to a
44 plan (i) approved by the speaker of the assembly and the director of
45 the budget which sets forth either an itemized list of grantees with
46 the amount to be received by each, or the methodology for allocating
47 such appropriation, and (ii) which is thereafter included in an
48 assembly resolution calling for the expenditure of such funds, which
49 resolution must be approved by a majority vote of all members
50 elected to the assembly upon a roll call vote _(_2_3_4_8_2_) ..............
51 6,343,000 ......................................... (re. $1,211,000)",369,40.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23482|2022|6343000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21707,2021,364500000,52597000,"51 For July and August programs for school-aged children with handicap-
52 ping conditions pursuant to section 4408 of the education law.
AB
373 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 Moneys appropriated herein shall be used as follows: (i) for remain-
2 ing base year and prior school years obligations, (ii) for the
3 purposes of subdivision 4 of section 3602 of the education law for
4 schools operated under articles 87 and 88 of the education law, and
5 (iii) notwithstanding any inconsistent provision of law, for
6 payments made pursuant to this appropriation for current school year
7 obligations, provided, however, that such payments shall not exceed
8 70 percent of the state aid due for the sum of the approved tuition
9 and maintenance rates and transportation expense provided for here-
10 in; provided, however, that eligible claims shall be payable in the
11 order that such claims have been approved for payment by the commis-
12 sioner of education, but in no case shall a single payee draw down
13 more than 45 percent of this appropriation, and provided further
14 that no claim shall be set aside for insufficiency of funds to make
15 a complete payment, but shall be eligible for a partial payment in
16 one year and shall retain its priority date status for subsequent
17 appropriations designated for such purposes. Notwithstanding any
18 inconsistent provision of law, funds appropriated herein shall only
19 be available for liabilities incurred prior to July 1, 2022, shall
20 be used to pay 2020-21 school year claims in the first instance, and
21 represent the maximum amount payable during the 2021-22 state fiscal
22 year.
23 Notwithstanding any provision of law to the contrary, funds appropri-
24 ated herein shall be available for payment of liabilities heretofore
25 accrued or hereafter to accrue and, subject to the approval of the
26 director of the budget, such funds shall be available to the depart-
27 ment net of disallowances, refunds, reimbursements and credits
28 (21707) ... 364,500,000 .......................... (re. $52,597,000)",373,51.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21707|2021|364500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21706,2021,1035000000,208727000,"29 For the state's share of the costs of the education of preschool chil-
30 dren with disabilities pursuant to section 4410 of the education
31 law. Notwithstanding any inconsistent provision of law to the
32 contrary, the amount appropriated herein shall support a state share
33 of preschool handicapped education costs for the 2020-21 school year
34 limited to 59.5 percent of such total approved expenditures, and
35 furthermore, notwithstanding any other provision of law, local
36 claims for reimbursement of costs incurred prior to the 2019-20
37 school year and during the 2019-20 school year that have been
38 approved for payment by the education department as of March 31,
39 2021 shall be the first claims paid from this appropriation.
40 Notwithstanding any provision of law to the contrary, funds appropri-
41 ated herein shall be available for payment of liabilities heretofore
42 accrued or hereafter to accrue and, subject to the approval of the
43 director of the budget, such funds shall be available to the depart-
44 ment net of disallowances, refunds, reimbursements and credits
45 (21706) ... 1,035,000,000 ....................... (re. $208,727,000)",373,29.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21706|2021|1035000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21733,2021,475000,475000,"49 For services and expenses of the Executive Leadership Institute
50 _(_2_1_7_3_3_) ............................................................
51 475,000 ............................................. (re. $475,000)",374,49.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21733|2021|475000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23319,2021,475000,475000,"AB
375 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 For services and expenses of the Magellan Foundation, Inc. _(_2_3_3_1_9_) ...
2 475,000 ............................................. (re. $475,000)",375,1.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23319|2021|475000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23347,2021,1000000,1000000,"34 For services and expenses of Many Threads, One Fabric union led
35 implicit bias training for public school educators (23347) .........
36 1,000,000 ......................................... (re. $1,000,000)",375,34.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23347|2021|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,56150,2021,450000,450000,"37 For services and expenses of United Community Schools, Incorporated
38 (56150) ... 450,000 ................................. (re. $450,000)",375,37.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56150|2021|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23353,2021,100000,2200,"39 For services and expenses of the Friends of the Central Library
40 _(_2_3_3_5_3_) ............................................................
41 100,000 ............................................... (re. $2,200)",375,39.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23353|2021|100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23320,2021,40000,40000,"42 For services and expenses of the Long Island Latino Teachers Associ-
43 ation _(_2_3_3_2_0_) ......................................................
44 40,000 ............................................... (re. $40,000)",375,42.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23320|2021|40000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23483,2021,5035500,3567000,"45 For additional grants in aid to certain school districts, public
46 libraries, and not-for-profit institutions. Notwithstanding section
47 twenty-four of the state finance law or any provision of law to the
48 contrary, funds from this appropriation shall be allocated only
49 pursuant to a plan (i) approved by the temporary president of the
50 senate and the director of the budget which sets forth either an
51 itemized list of grantees with the amount to be received by each, or
52 the methodology for allocating such appropriation, and (ii) which is
AB
376 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 thereafter included in a senate resolution calling for the expendi-
2 ture of such funds, which resolution must be approved by a majority
3 vote of all members elected to the senate upon a roll call vote
4 _(_2_3_4_8_3_) ............................................................
5 5,035,500 ......................................... (re. $3,567,000)",376,45.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23483|2021|5035500
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23482,2021,8000000,3165000,"6 For additional grants in aid to certain school districts, public
7 libraries, and not-for-profit institutions. Notwithstanding section
8 twenty-four of the state finance law or any provision of law to the
9 contrary, funds from this appropriation shall be allocated only
10 pursuant to a plan (i) approved by the speaker of the assembly and
11 the director of the budget which sets forth either an itemized list
12 of grantees with the amount to be received by each, or the methodol-
13 ogy for allocating such appropriation, and (ii) which is thereafter
14 included in an assembly resolution calling for the expenditure of
15 such funds, which resolution must be approved by a majority vote of
16 all members elected to the assembly upon a roll call vote _(_2_3_4_8_2_) ..
17 8,000,000 ......................................... (re. $3,165,000)",376,6.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23482|2021|8000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23356,2021,1300000,1300000,"18 For services and expenses of NYC Kids RISE, Inc _(_2_3_3_5_6_) ..............
19 1,300,000 ......................................... (re. $1,300,000)",376,18.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23356|2021|1300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23348,2021,250000,250000,"48 For services and expenses of the Fund for the City of New York - Prom-
49 ise Project _(_2_3_3_4_8_) ................................................
50 250,000 ............................................. (re. $250,000)",379,48.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23348|2021|250000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,56150,2020,450000,450000,"22 For services and expenses of United Community Schools, Incorporated
23 (56150) ... 450,000 ................................. (re. $450,000)",382,22.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56150|2020|450000
